Entity,Year,Urban,Population
Afghanistan,1950-01-01,6.0,7752116.999999999
Afghanistan,1951-01-01,6.207999999999999,7840151.0
Afghanistan,1952-01-01,6.422000000000001,7935996.0
Afghanistan,1953-01-01,6.643,8039684.0
Afghanistan,1954-01-01,6.872000000000001,8151316.0
Afghanistan,1955-01-01,7.107,8270992.0
Afghanistan,1956-01-01,7.351,8398873.0
Afghanistan,1957-01-01,7.601,8535157.0
Afghanistan,1958-01-01,7.86,8680097.0
Afghanistan,1959-01-01,8.126,8833947.0
Afghanistan,1960-01-01,8.401,8996966.999999998
Afghanistan,1961-01-01,8.684,9169405.999999998
Afghanistan,1962-01-01,8.976,9351442.0
Afghanistan,1963-01-01,9.276,9543200.0
Afghanistan,1964-01-01,9.586,9744771.999999998
Afghanistan,1965-01-01,9.904,9956318.000000002
Afghanistan,1966-01-01,10.232999999999999,10174840.0
Afghanistan,1967-01-01,10.57,10399936.0
Afghanistan,1968-01-01,10.918,10637063.999999998
Afghanistan,1969-01-01,11.275,10893771.999999998
Afghanistan,1970-01-01,11.642999999999999,11173653.999999998
Afghanistan,1971-01-01,12.020999999999999,11475450.0
Afghanistan,1972-01-01,12.41,11791222.0
Afghanistan,1973-01-01,12.809000000000001,12108963.0
Afghanistan,1974-01-01,13.219000000000001,12412960.0
Afghanistan,1975-01-01,13.640999999999998,12689163.999999998
Afghanistan,1976-01-01,14.074000000000002,12943093.0
Afghanistan,1977-01-01,14.517000000000001,13171294.0
Afghanistan,1978-01-01,14.972999999999999,13341198.999999998
Afghanistan,1979-01-01,15.442,13411060.0
Afghanistan,1980-01-01,15.995,13356500.0
Afghanistan,1981-01-01,16.562,13171678.999999998
Afghanistan,1982-01-01,17.147000000000002,12882518.0
Afghanistan,1983-01-01,17.747,12537732.0
Afghanistan,1984-01-01,18.365,12204306.0
Afghanistan,1985-01-01,18.997,11938204.0
Afghanistan,1986-01-01,19.647000000000002,11736177.0
Afghanistan,1987-01-01,20.314,11604538.0
Afghanistan,1988-01-01,20.998,11618008.0
Afghanistan,1989-01-01,21.088,11868873.0
Afghanistan,1990-01-01,21.177,12412311.000000002
Afghanistan,1991-01-01,21.266,13299016.000000002
Afghanistan,1992-01-01,21.355,14485543.0
Afghanistan,1993-01-01,21.444000000000003,15816601.0
Afghanistan,1994-01-01,21.534000000000002,17075728.0
Afghanistan,1995-01-01,21.624000000000002,18110662.0
Afghanistan,1996-01-01,21.714000000000002,18853444.0
Afghanistan,1997-01-01,21.805,19357126.0
Afghanistan,1998-01-01,21.895,19737770.0
Afghanistan,1999-01-01,21.986,20170846.999999996
Afghanistan,2000-01-01,22.078000000000003,20779957.0
Afghanistan,2001-01-01,22.169,21606992.000000004
Afghanistan,2002-01-01,22.261,22600773.999999996
Afghanistan,2003-01-01,22.353,23680871.0
Afghanistan,2004-01-01,22.5,24726689.0
Afghanistan,2005-01-01,22.703000000000003,25654273.999999996
Afghanistan,2006-01-01,22.906999999999996,26433057.999999996
Afghanistan,2007-01-01,23.113000000000003,27100542.0
Afghanistan,2008-01-01,23.32,27722281.000000004
Afghanistan,2009-01-01,23.528000000000002,28394806.0
Afghanistan,2010-01-01,23.737,29185511.000000004
Afghanistan,2011-01-01,23.948,30117411.0
Afghanistan,2012-01-01,24.16,31161377.999999996
Afghanistan,2013-01-01,24.373,32269592.0
Afghanistan,2014-01-01,24.587,33370803.999999996
Afghanistan,2015-01-01,24.803,34413602.99999999
Afghanistan,2016-01-01,25.02,35383028.0
Afghanistan,2017-01-01,,36296111.00000001
Afghanistan,2018-01-01,,37171922.0
Afghanistan,2019-01-01,,38041757.00000001
Afghanistan,2020-01-01,,544996774.0000001
Afghanistan,2021-01-01,,358229518.0
Afghanistan,2022-01-01,,365983786.0
Afghanistan,2023-01-01,,373692876.00000006
Afghanistan,2024-01-01,,381467152.00000006
Afghanistan,2025-01-01,,607036825.0
Afghanistan,2026-01-01,,397483723.0
Afghanistan,2027-01-01,,405734583.0
Afghanistan,2028-01-01,,414125933.99999994
Afghanistan,2029-01-01,,422626199.9999999
Afghanistan,2030-01-01,,671413326.0
Afghanistan,2031-01-01,,439879122.0
Afghanistan,2032-01-01,,448633637.99999994
Afghanistan,2033-01-01,,457460992.99999994
Afghanistan,2034-01-01,,466344328.0000001
Afghanistan,2035-01-01,,737488193.0000001
Afghanistan,2036-01-01,,484225547.99999994
Afghanistan,2037-01-01,,493207880.0
Afghanistan,2038-01-01,,502202006.00000006
Afghanistan,2039-01-01,,511193332.0
Afghanistan,2040-01-01,,803625396.0000001
Afghanistan,2041-01-01,,529125834.00000006
Afghanistan,2042-01-01,,538056880.0
Afghanistan,2043-01-01,,546957688.0
Afghanistan,2044-01-01,,555823638.0
Afghanistan,2045-01-01,,868432564.0000001
Afghanistan,2046-01-01,,573440899.9999999
Afghanistan,2047-01-01,,582191318.9999999
Afghanistan,2048-01-01,,590912929.9999999
Afghanistan,2049-01-01,,599618892.0000001
Afghanistan,2050-01-01,,931174542.0
Afghanistan,2051-01-01,,617019665.0
Afghanistan,2052-01-01,,625719247.0
Afghanistan,2053-01-01,,634425074.0
Afghanistan,2054-01-01,,643143734.0000001
