Расход топлива,Кол-во цилиндров,Рабочий объем двигателя,Мощность,Вес,Ускорение,Год выпуска,Производитель
13,8,5,130.0,1589,12.0,2005,US
16,8,6,165.0,1675,11.5,2005,US
13,8,5,150.0,1559,11.0,2005,US
15,8,5,150.0,1557,12.0,2005,US
14,8,5,140.0,1564,10.5,2005,US
16,8,7,198.0,1969,10.0,2005,US
17,8,7,220.0,1975,9.0,2005,US
17,8,7,215.0,1956,8.5,2005,US
17,8,7,225.0,2007,10.0,2005,US
16,8,6,190.0,1746,8.5,2005,US
16,8,6,170.0,1616,10.0,2005,US
17,8,6,160.0,1637,8.0,2005,US
16,8,7,150.0,1706,9.5,2005,US
17,8,7,225.0,1400,10.0,2005,US
10,4,2,95.0,1076,15.0,2005,Asia
11,6,3,95.0,1285,15.5,2005,US
13,6,3,97.0,1258,15.5,2005,US
11,6,3,85.0,1173,16.0,2005,US
9,4,2,88.0,966,14.5,2005,Asia
9,4,2,46.0,832,20.5,2005,Europe
9,4,2,87.0,1212,17.5,2005,Europe
10,4,2,90.0,1102,14.5,2005,Europe
9,4,2,95.0,1077,17.5,2005,Europe
9,4,2,113.0,1013,12.5,2005,Europe
11,6,3,90.0,1201,15.0,2005,US
24,8,6,215.0,2093,14.0,2005,US
24,8,5,200.0,1985,15.0,2005,US
21,8,5,210.0,1988,13.5,2005,US
26,8,5,193.0,2146,18.5,2005,US
9,4,2,88.0,966,14.5,2006,Asia
8,4,2,90.0,1027,15.5,2006,US
9,4,2,95.0,1011,14.0,2006,Asia
9,4,2,,928,19.0,2006,US
12,6,4,100.0,1195,13.0,2006,US
15,6,4,105.0,1560,15.5,2006,US
14,6,4,100.0,1510,15.5,2006,US
12,6,4,88.0,1498,15.5,2006,US
13,6,4,100.0,1491,15.5,2006,US
17,8,6,165.0,1909,12.0,2006,US
17,8,7,175.0,2025,11.5,2006,US
17,8,6,153.0,1884,13.5,2006,US
17,8,5,150.0,1858,13.0,2006,US
20,8,6,180.0,2248,11.5,2006,US
18,8,7,170.0,2153,12.0,2006,US
18,8,7,175.0,2331,12.0,2006,US
13,6,4,110.0,1344,13.5,2006,US
11,4,2,72.0,1092,19.0,2006,US
12,6,4,100.0,1489,15.0,2006,US
13,6,4,88.0,1424,14.5,2006,US
10,4,2,86.0,1007,14.0,2006,US
8,4,2,90.0,963,14.0,2006,Europe
8,4,1,70.0,941,19.5,2006,Europe
8,4,1,76.0,937,14.5,2006,Europe
8,4,1,65.0,804,19.0,2006,Asia
7,4,1,69.0,732,18.0,2006,Asia
9,4,2,60.0,832,19.0,2006,Europe
9,4,1,70.0,887,20.5,2006,US
10,4,2,95.0,1033,15.5,2007,Asia
9,4,2,80.0,964,17.0,2007,US
10,4,2,54.0,1022,23.5,2007,Europe
12,4,2,90.0,1092,19.5,2007,US
11,4,2,86.0,1010,16.5,2007,US
18,8,6,165.0,1939,12.0,2007,US
17,8,7,175.0,1989,12.0,2007,US
16,8,5,150.0,1876,13.5,2007,US
17,8,6,153.0,1873,13.0,2007,US
14,8,5,150.0,1666,11.5,2007,US
21,8,7,208.0,2101,11.0,2007,US
18,8,6,155.0,2042,13.5,2007,US
20,8,6,160.0,2021,13.5,2007,US
18,8,7,190.0,2006,12.5,2007,US
12,3,1,97.0,1057,13.5,2007,Asia
16,8,5,150.0,1765,12.5,2007,US
18,8,5,130.0,1859,14.0,2007,US
18,8,5,140.0,1948,16.0,2007,US
17,8,5,150.0,1849,14.0,2007,US
13,4,2,112.0,1330,14.5,2007,Europe
11,4,2,76.0,1139,18.0,2007,Europe
11,4,2,87.0,1351,19.5,2007,Europe
9,4,2,69.0,993,18.0,2007,Europe
11,4,2,86.0,1086,16.0,2007,US
8,4,2,92.0,1038,17.0,2007,Asia
10,4,2,97.0,1137,14.5,2007,Asia
8,4,2,80.0,982,15.0,2007,US
9,4,2,88.0,953,16.5,2007,Asia
18,8,6,175.0,1860,13.0,2008,US
17,8,5,150.0,1666,11.5,2008,US
18,8,6,145.0,1809,13.0,2008,US
17,8,5,137.0,1833,14.5,2008,US
16,8,5,150.0,1713,12.5,2008,US
20,8,7,198.0,2246,11.5,2008,US
18,8,7,150.0,2025,12.0,2008,US
18,8,6,158.0,1979,13.0,2008,US
17,8,5,150.0,1922,14.5,2008,US
18,8,7,215.0,2148,11.0,2008,US
20,8,7,225.0,2246,11.0,2008,US
18,8,6,175.0,1733,11.0,2008,US
13,6,4,105.0,1416,16.5,2008,US
15,6,4,100.0,1487,18.0,2008,US
13,6,4,100.0,1336,16.0,2008,US
13,6,4,88.0,1370,16.5,2008,US
10,6,3,95.0,1317,16.0,2008,US
9,4,2,46.0,885,21.0,2008,Europe
21,8,7,150.0,2267,14.0,2008,US
